ID,WER
09-117__FREE__transcription,0.10891089108910891
15-081__FREE__transcription,0.0
07-050__FREE__transcription,0.0
17-029__FREE__transcription,0.0
07-028__FREE__transcription,0.0
09-055__FREE__transcription,0.31521739130434784
13-012__FREE__transcription,0.0
01-042__FREE__transcription,0.0
15-007__FREE__transcription,0.29457364341085274
01-167__FREE__transcription,0.014598540145985401
09-001__FREE__transcription,0.19148936170212766
15-087__FREE__transcription,0.02586206896551724
15-046__FREE__transcription,0.3806818181818182
01-113__FREE__transcription,0.0
07-008__FREE__transcription,0.2948717948717949
09-059__FREE__transcription,0.04878048780487805
01-127__FREE__transcription,0.05917159763313609
01-126__FREE__transcription,0.028368794326241134
09-208__FREE__transcription,0.09259259259259259
09-024__FREE__transcription,0.043010752688172046
09-136__FREE__transcription,0.4473684210526316
19-041__FREE__transcription,0.03260869565217391
01-121__FREE__transcription,0.027586206896551724
15-025__FREE__transcription,0.36637931034482757
01-162__FREE__transcription,0.056179775280898875
07-011__FREE__transcription,0.0
17-001__FREE__transcription,0.08396946564885496
24-002__FREE__transcription,0.029585798816568046
09-228__FREE__transcription,0.05263157894736842
19-020__FREE__transcription,0.025
09-026__FREE__transcription,0.189873417721519
09-203__FREE__transcription,0.054455445544554455
17-031__FREE__transcription,0.007352941176470588
15-028__FREE__transcription,0.04411764705882353
01-168__FREE__transcription,0.0
09-075__FREE__transcription,0.09693877551020408
09-011__FREE__transcription,0.06428571428571428
09-042__FREE__transcription,0.03508771929824561
15-078__FREE__transcription,0.0
15-083__FREE__transcription,0.041666666666666664
09-133__FREE__transcription,0.041666666666666664
17-020__FREE__transcription,0.0
15-074__FREE__transcription,0.0
15-006__FREE__transcription,0.28125
09-057__FREE__transcription,0.04950495049504951
02-053__FREE__transcription,0.007142857142857143
01-122__FREE__transcription,0.01948051948051948
09-223__FREE__transcription,0.06504065040650407
17-010__FREE__transcription,0.0
15-069__FREE__transcription,0.275
13-020__FREE__transcription,0.0
19-046__FREE__transcription,0.21875
09-190__FREE__transcription,0.05732484076433121
17-039__FREE__transcription,0.2159468438538206
01-020__FREE__transcription,0.014814814814814815
15-021__FREE__transcription,0.0
01-066__FREE__transcription,0.0
09-192__FREE__transcription,0.03985507246376811
15-033__FREE__transcription,0.39855072463768115
