ID,WER
09-117__FREE__transcription,0.10891089108910891
15-081__FREE__transcription,0.0
17-029__FREE__transcription,0.0
15-007__FREE__transcription,0.29457364341085274
15-087__FREE__transcription,0.02586206896551724
15-046__FREE__transcription,0.3806818181818182
15-025__FREE__transcription,0.36637931034482757
17-001__FREE__transcription,0.08396946564885496
17-031__FREE__transcription,0.007352941176470588
15-028__FREE__transcription,0.04411764705882353
15-078__FREE__transcription,0.0
15-083__FREE__transcription,0.041666666666666664
17-020__FREE__transcription,0.0
15-074__FREE__transcription,0.0
15-006__FREE__transcription,0.28125
17-010__FREE__transcription,0.0
15-069__FREE__transcription,0.275
17-039__FREE__transcription,0.2159468438538206
15-021__FREE__transcription,0.0
15-033__FREE__transcription,0.39855072463768115
